AIRLINE,FL_DATE,DEP_DELAY
American Airlines Inc.,2019-04-22,10.027667984189723
American Airlines Inc.,2019-04-23,3.3869731800766285
American Airlines Inc.,2019-04-24,9.319852941176471
American Airlines Inc.,2019-04-25,3.8020833333333335
American Airlines Inc.,2019-04-26,21.597864768683273
American Airlines Inc.,2019-04-27,8.039130434782608
American Airlines Inc.,2019-04-28,6.816666666666666
American Airlines Inc.,2019-04-29,13.515503875968992
American Airlines Inc.,2019-04-30,14.220588235294118
American Airlines Inc.,2019-05-01,11.473684210526315
American Airlines Inc.,2019-05-02,18.810126582278482
American Airlines Inc.,2019-05-03,16.53231939163498
American Airlines Inc.,2019-05-04,17.283261802575108
American Airlines Inc.,2019-05-05,27.42063492063492
American Airlines Inc.,2019-05-06,7.507142857142857
American Airlines Inc.,2019-05-07,5.5278810408921935
American Airlines Inc.,2019-05-08,34.838283828382835
American Airlines Inc.,2019-05-09,15.430711610486892
American Airlines Inc.,2019-05-10,10.579470198675496
American Airlines Inc.,2019-05-11,35.41532258064516
American Airlines Inc.,2019-05-12,25.818867924528302
American Airlines Inc.,2019-05-13,16.795698924731184
American Airlines Inc.,2019-05-14,3.8970588235294117
American Airlines Inc.,2019-05-15,5.814696485623003
American Airlines Inc.,2019-05-16,14.87900355871886
American Airlines Inc.,2019-05-17,7.03690036900369
American Airlines Inc.,2019-05-18,36.27426160337553
American Airlines Inc.,2019-05-19,21.75092936802974
American Airlines Inc.,2019-05-20,14.492700729927007
American Airlines Inc.,2019-05-21,22.40073529411765
American Airlines Inc.,2019-05-22,7.544802867383512
American Airlines Inc.,2019-05-23,17.3476821192053
American Airlines Inc.,2019-05-24,14.014084507042254
American Airlines Inc.,2019-05-25,10.800970873786408
American Airlines Inc.,2019-05-26,5.241803278688525
American Airlines Inc.,2019-05-27,13.251937984496124
American Airlines Inc.,2019-05-28,13.193771626297577
American Airlines Inc.,2019-05-29,19.344086021505376
American Airlines Inc.,2019-05-30,17.130597014925375
American Airlines Inc.,2019-05-31,12.203448275862069
American Airlines Inc.,2019-06-01,19.35177865612648
American Airlines Inc.,2019-06-02,23.16412213740458
American Airlines Inc.,2019-06-03,14.222614840989399
American Airlines Inc.,2019-06-04,10.21476510067114
American Airlines Inc.,2019-06-05,12.948453608247423
American Airlines Inc.,2019-06-06,9.966165413533835
American Airlines Inc.,2019-06-07,12.886206896551725
American Airlines Inc.,2019-06-08,17.321428571428573
American Airlines Inc.,2019-06-09,23.453389830508474
American Airlines Inc.,2019-06-10,27.72818791946309
American Airlines Inc.,2019-06-11,14.056818181818182
American Airlines Inc.,2019-06-12,21.85135135135135
American Airlines Inc.,2019-06-13,17.48611111111111
American Airlines Inc.,2019-06-14,13.303630363036303
American Airlines Inc.,2019-06-15,14.746781115879829
American Airlines Inc.,2019-06-16,37.47520661157025
American Airlines Inc.,2019-06-17,21.25986842105263
American Airlines Inc.,2019-06-18,17.258064516129032
American Airlines Inc.,2019-06-19,22.526132404181183
American Airlines Inc.,2019-06-20,26.185454545454544
American Airlines Inc.,2019-06-21,22.137254901960784
American Airlines Inc.,2019-06-22,13.7119341563786
American Airlines Inc.,2019-06-23,25.209386281588447
American Airlines Inc.,2019-06-24,14.644736842105264
American Airlines Inc.,2019-06-25,14.677824267782427
American Airlines Inc.,2019-06-26,10.174545454545454
American Airlines Inc.,2019-06-27,14.597014925373134
American Airlines Inc.,2019-06-28,14.89605734767025
American Airlines Inc.,2019-06-29,25.08438818565401
American Airlines Inc.,2019-06-30,19.976744186046513
American Airlines Inc.,2019-07-01,19.46484375
American Airlines Inc.,2019-07-02,14.267175572519085
American Airlines Inc.,2019-07-03,20.91625615763547
American Airlines Inc.,2019-07-04,14.213270142180095
American Airlines Inc.,2019-07-05,11.087866108786612
American Airlines Inc.,2019-07-06,47.04694835680751
American Airlines Inc.,2019-07-07,23.556818181818183
American Airlines Inc.,2019-07-08,22.91958041958042
American Airlines Inc.,2019-07-09,10.489051094890511
American Airlines Inc.,2019-07-10,8.190311418685122
American Airlines Inc.,2019-07-11,24.010309278350515
American Airlines Inc.,2019-07-12,15.363945578231293
American Airlines Inc.,2019-07-13,10.488372093023257
American Airlines Inc.,2019-07-14,11.110687022900763
American Airlines Inc.,2019-07-15,10.341379310344827
American Airlines Inc.,2019-07-16,12.899653979238755
American Airlines Inc.,2019-07-17,20.10332103321033
American Airlines Inc.,2019-07-18,34.10104529616725
American Airlines Inc.,2019-07-19,16.335640138408305
American Airlines Inc.,2019-07-20,23.248175182481752
American Airlines Inc.,2019-07-21,18.579804560260587
American Airlines Inc.,2019-07-22,19.793333333333333
American Airlines Inc.,2019-07-23,17.291814946619215
American Airlines Inc.,2019-07-24,7.914179104477612
American Airlines Inc.,2019-07-25,7.879598662207358
American Airlines Inc.,2019-07-26,12.72161172161172
American Airlines Inc.,2019-07-27,7.9271255060728745
American Airlines Inc.,2019-07-28,7.400826446280992
American Airlines Inc.,2019-07-29,13.909722222222221
American Airlines Inc.,2019-07-30,9.690721649484535
American Airlines Inc.,2019-07-31,22.343065693430656
American Airlines Inc.,2019-08-01,27.693379790940767
American Airlines Inc.,2019-08-02,15.589576547231271
American Airlines Inc.,2019-08-03,23.86864406779661
American Airlines Inc.,2019-08-04,13.988372093023257
American Airlines Inc.,2019-08-05,8.373239436619718
American Airlines Inc.,2019-08-06,13.471830985915492
American Airlines Inc.,2019-08-07,17.10820895522388
American Airlines Inc.,2019-08-08,17.888475836431226
American Airlines Inc.,2019-08-09,15.254901960784315
American Airlines Inc.,2019-08-10,7.067164179104478
American Airlines Inc.,2019-08-11,6.42570281124498
American Airlines Inc.,2019-08-12,11.759450171821307
American Airlines Inc.,2019-08-13,14.53356890459364
American Airlines Inc.,2019-08-14,17.02777777777778
American Airlines Inc.,2019-08-15,22.63973063973064
American Airlines Inc.,2019-08-16,12.716845878136201
American Airlines Inc.,2019-08-17,12.681614349775785
American Airlines Inc.,2019-08-18,27.982935153583618
American Airlines Inc.,2019-08-19,12.152941176470588
